Metric,Value,P-Value
Spearman Correlation, 0.2002698719644621,9.426687665908103e-05
Pearson Correlation,  0.20065889927707645,9.129380955208179e-05
Kendall-Tau,0.14152492117382953,8.601698876712918e-05
