Metric,Value,P-Value
Spearman Correlation,0.2631274461233596,3.0591078648094104e-23
Pearson Correlation,0.1852917302201583,4.21908527246163e-12
Kendall-Tau,0.19739944508899132,2.7968802518449363e-23
