Metric,Value,P-Value
Cohen's Kappa,0.0,-
Spearman Correlation,-0.08304167157367356,0.0020421312234686975
Pearson Correlation,-0.03095765084693007,0.2509657283344904
Kendall-Tau,-0.06114947837010088,0.0020738398338727513
